cluster_label,cluster_center
0,[-26.38268583 -51.64753325]
1,[27.62034217 77.34077902]
2,[ 41.6814291  -88.82927021]
3,[50.78134379  5.08710121]
4,[-29.84556182 150.94162082]
5,[ 10.15807816 122.98814364]
6,[55.7700388  49.65079017]
7,[-28.00059601  30.18726113]
8,[  39.41323557 -121.58611827]
9,[ 34.21583426 130.54908928]
10,[  4.19290006 100.84648755]
11,[45.48215911 26.20939733]
12,[39.90257948  9.19462345]
13,[ 43.75702738 -72.04309088]
14,[40.05165562 -3.2665545 ]
15,[ 33.99079622 -88.15612154]
16,[-32.23191646 117.21111347]
17,[47.61519241 -1.35811432]
18,[ -5.99104855 -78.37060606]
19,[48.19516319 20.45021469]
20,[  51.49968363 -111.19643862]
21,[16.44642604 79.18521201]
22,[8.18357377 5.59776208]
23,[ 29.20957747 -97.94610072]
24,[62.50983974 30.25042196]
25,[52.79545913 94.24227974]
26,[ -6.91185322 -38.1116018 ]
27,[-36.13066683 -69.78654573]
28,[60.79073306 16.10377527]
29,[-0.45027543 36.40921449]
30,[-45.07963399 170.59775248]
31,[-34.560591   138.82743964]
32,[ 40.40325786 -76.14059269]
33,[ 42.26835433 -97.15510098]
34,[ -3.93428088 119.34930316]
35,[53.27908026 36.42419118]
36,[ 15.2741314  103.72148438]
37,[  63.27128641 -148.2310451 ]
38,[39.95705832 15.54847165]
39,[58.57298041 73.10086586]
40,[ 42.29121341 141.29123411]
41,[48.51589729  2.07396121]
42,[  41.00063491 -105.09105931]
43,[48.87677325 15.12214947]
44,[37.57455614 37.22825381]
45,[ 20.05979166 -99.8160219 ]
46,[-27.96645339 -64.7476629 ]
47,[ 65.41527794 -20.4631883 ]
48,[ 50.86615048 108.21897633]
49,[ 20.2614738  120.89549711]
50,[23.43967154 87.71765399]
51,[ 35.61789594 137.3124063 ]
52,[45.75319743  9.29584263]
53,[  43.08593471 -112.74387295]
54,[-37.52450927 145.19071256]
55,[ 34.21031088 -97.37190238]
56,[ 26.57256115 -80.7258257 ]
57,[ 53.24071265 -56.15080015]
58,[ 19.18009577 -15.73656411]
59,[  33.65136307 -111.68017348]
60,[  55.31902902 -120.33265973]
61,[ 32.78011886 -83.13447001]
62,[59.902041  25.3005458]
63,[-21.36007501 -45.20908235]
64,[22.6439271 72.8674498]
65,[54.22316696 83.91641453]
66,[ 59.46505194 124.96562438]
67,[ -6.07532882 109.05881937]
68,[-14.40585476 -41.60643553]
69,[  19.9742151  -156.71003578]
70,[-14.94438664 -69.01765212]
71,[-34.1516875  -58.80457859]
72,[60.90702881  9.47307399]
73,[56.33223292 -3.54324764]
74,[54.66051753 23.24611575]
75,[ -1.32255245 -58.81384784]
76,[43.26132608  1.09470634]
77,[ 15.16453573 100.37293534]
78,[39.89435774 -8.25303829]
79,[ 32.15718014 -92.34071633]
80,[ 46.32263775 -65.44291928]
81,[ 38.19698016 -94.59282438]
82,[ 60.17000663 150.6395856 ]
83,[  6.09999949 -74.78302875]
84,[43.41216117 12.66730137]
85,[ 43.95019401 -79.0878476 ]
86,[67.00334791 21.10054437]
87,[ 45.20107571 -93.02312445]
88,[45.74079178 41.91150943]
89,[57.98289838 41.72179112]
90,[  49.05365217 -100.93627036]
91,[-21.07205302 145.11699555]
92,[56.69487185 11.96129275]
93,[56.03577426 59.86581258]
94,[ 18.01940104 -91.32379331]
95,[  33.94186944 -103.24018035]
96,[53.34995276 -7.69410968]
97,[40.16747763 22.85075943]
98,[ 36.24085173 -79.27647827]
99,[  47.04752121 -120.70908954]
100,[25.26248082 55.455717  ]
101,[-25.04458824  27.12855526]
102,[52.34274556 18.24099178]
103,[-45.81059147 -69.92182993]
104,[20.07642633 76.80173369]
105,[-32.05828099  22.37223459]
106,[39.51453738 30.07422932]
107,[  34.83850484 -117.99637926]
108,[45.87614578  5.00519537]
109,[52.0418143  -1.13033767]
110,[  60.15959604 -133.39128493]
111,[10.43084273 78.55917095]
112,[-22.62003749 117.44180788]
113,[ 42.01005952 -83.69053477]
114,[ 37.69117753 -85.18496327]
115,[ -5.01643933 -47.11575991]
116,[-18.06397627 131.94163753]
117,[-16.95218202 -51.8399846 ]
118,[-38.41903142 175.18257043]
119,[  25.56747439 -106.14740366]
